Αριθμός Μητρώου,Ονοματεπώνυμο,Ακαδημαϊκό E-mail,Περίοδος δήλωσης,Τμήμα Τάξης,Κλίμακα βαθμολόγησης,Βαθμολογία,Κατάσταση
3184623,ΚΑΡΑΓΙΑΝΝΗΣ ΕΛΕΝΗ,el84623@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
3184610,ΝΙΚΟΛΑΪΔΗΣ ΧΡΙΣΤΙΝΑ,el84610@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
3184620,ΑΛΕΞΑΝΔΡΟΥ ΠΑΝΑΓΙΩΤΗΣ,el84620@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,5,Μη τελικός
3184633,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΙΩΡΓΟΣ,el84633@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
3184644,ΜΑΡΙΑΔΟΥ ΕΛΕΝΗ,el84644@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2402,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΝΔΡΕΑΣ,el2402@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2403,ΦΙΛΙΠΠΟΥ ΜΑΡΙΑ,el2403@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
2404,ΓΕΩΡΓΙΟΥ ΠΕΤΡΟΣ,el2404@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
2405,ΣΤΑΜΑΤΙΟΥ ΕΛΕΝΗ,el2405@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,9,Μη τελικός
2406,ΚΑΡΑΜΑΝΟΣ ΔΗΜΗΤΡΗΣ,el2406@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,5,Μη τελικός
